SurveyId,Country,OptInDate,BirthYear,Age,AgeGroup,Gender,Region,District,Urban_Rural,WaterSupply_Tap,WaterSupply_Standpipe,WaterSupply_Well,WaterSupply_Bottled water/sachet,WaterSupply_Tanker,WaterSupply_Cart vendor,WaterSupply_Rainwater,WaterSupply_Spring/River,FlowDays,FlowHours,SourceLocation,WaterPay,WaterChange,WaterSupplyBefore_Tap,WaterSupplyBefore_ Standpipe,WaterSupplyBefore_Well,WaterSupplyBefore_ Bottled water/sachet,WaterSupplyBefore_Tanker,WaterSupplyBefore_Cart vendor,WaterSupplyBefore_Rainwater,WaterSupplyBefore_Spring/River,FlowDaysBefore,FlowHoursBefore,WaterPayBefore
UPS-6418500060265009085,Ghana,11-20-2020,1998,22,15-24,Female,Northern,Nanton,Rural area [village/farm],Yes,No,No,No,No,No,No,No,5,4,I must walk to it,35,The same as before,No,No,Yes,No,No,No,No,No,0,0,20
UPS-3070174669635594429,Ghana,11-23-2020,1994,26,25-40,Male,Northern,West Gonja,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,Neighbor,8,More difficult,No,No,Yes,No,No,No,No,No,0,0,30
UPS4512553116795326245,Ghana,11-23-2020,1994,26,25-40,Female,Northern,West Gonja,Rural area [village/farm],No,No,No,No,Yes,No,No,No,0,0,I must walk to it,400,The same as before,No,No,No,No,Yes,No,No,No,0,0,400
UPS-7173317892467376647,Ghana,11-23-2020,2001,19,15-24,Female,Brong-Ahafo,Wenchi,Urban area [city/town],No,Yes,No,No,No,No,No,No,3,3,In my home or compound,2,The same as before,No,No,No,No,No,No,Yes,No,0,0,3
UPS2568872852309462356,Ghana,11-24-2020,1991,29,25-40,Male,Northern,Nanumba South,Rural area [village/farm],No,Yes,No,No,No,No,No,No,3,6,I must walk to it,2,More difficult,No,No,No,No,No,No,Yes,No,0,0,5
UPS-7532723049720559057,Ghana,11-25-2020,1993,27,25-40,Female,Northern,Nanton,Urban area [city/town],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,15,More difficult,Yes,No,No,No,No,No,No,No,3,8,15
UPS-4660961238489795394,Ghana,11-25-2020,1997,23,15-24,Male,Northern,Zabzugu,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,I must walk to it,2,Easier,No,No,No,No,No,No,No,Yes,0,0,2
UPS4263443232910728806,Ghana,11-21-2020,1985,35,25-40,Male,Northern,Nanton,Urban area [city/town],No,Yes,No,No,No,No,No,No,1,16,Neighbor,100,Easier,Yes,No,No,No,No,No,No,No,1,12,100
UPS-3301154744645025985,Ghana,11-25-2020,1984,36,25-40,Female,Brong-Ahafo,Dormaa West,Urban area [city/town],No,Yes,No,No,No,No,No,No,4,6,In my home or compound,45,The same as before,No,Yes,No,No,No,No,No,No,4,6,45
UPS4264733922234722693,Ghana,11-23-2020,1993,27,25-40,Female,Northern,Nanumba South,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,I must walk to it,20,The same as before,No,No,No,No,Yes,No,No,No,0,0,15
